user_id,user_community,user_active_status,q_anon_tweet_ids,q_anon_retweeted_ids,q_anon_terms_in_description
22522181,2,active,[],['1329919280855408641'],[]
364293062,2,suspended,[],['1334710445068996608'],"['wga', 'wwg1wga', 'wwg']"
2393279642,2,active,[],[],['savethechildren']
1295740053176463363,,active,[],[],"['wga', 'wwg1wga', 'wwg']"
33514631,1,suspended,[],[],"['qanon', 'awake', 'greatawakening']"
363851431,,deleted,[],[],['awake']
1298530729572200456,,active,[],[],['savethechildren']
2667431058,,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1103496559327494144,2,suspended,[],[],['qanon']
2232109442,2,deleted,[],"['1329815463153475585', '1329919280855408641']",[]
69777110,2,active,[],['1329919280855408641'],[]
1252999732294586368,,suspended,[],['1333289036857925632'],[]
3578163134,2,active,[],['1329919280855408641'],[]
3146006849,2,active,[],[],['awake']
2548011440,2,suspended,[],['1333209352593833984'],"['wga', 'wwg1wga', 'wwg']"
1297102363019235329,1,active,['1327260039812239361'],[],[]
951461959366533127,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1322021825564430337,2,active,[],"['1326851533368156171', '1328008965381369857']",[]
1059249651461881857,2,active,[],['1333289036857925632'],[]
1308499126464774146,,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1088651207235813376,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
273588479,2,active,[],['1329919280855408641'],[]
4197262937,2,active,[],[],['wwg']
1129977015078084609,2,suspended,[],"['1324149528296042499', '1329710398015041537']",[]
2416741859,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
986970663113166848,1,suspended,[],[],"['wga', 'qanon', 'wwg1wga', 'wwg']"
775120193194434560,2,suspended,[],"['1331625866858811393', '1331681040801423362']",[]
36549255,2,deleted,[],['1324294661515587584'],[]
1252207365409189893,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
3260722140,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1307659483557105666,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1283896388762374144,2,active,[],['1326717412696346625'],[]
1110550008775012357,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
930546152830840832,0,active,[],[],['qanon']
1049403240,2,suspended,[],['1326632416467881985'],[]
136174220,2,active,[],['1333587368796831744'],[]
1252467793628467202,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
3431641175,2,active,[],[],"['wga', 'wwg1wga', 'wwg']"
963970054852435968,2,active,[],['1333289036857925632'],[]
2484999962,2,active,[],[],"['qanon', 'awake', 'thegreatawakening', 'savethechildren', 'greatawakening']"
1254536281696145410,2,suspended,[],['1324445651992780801'],[]
47538279,0,active,[],['1333600055589298176'],[]
3974986993,2,suspended,[],['1329047072390131713'],[]
729811104189153280,2,active,[],['1326851533368156171'],[]
926864701929283584,2,active,[],['1330575601023979520'],[]
804751396331364352,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1268615570,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1190846099071873024,2,active,[],['1324972484991410177'],[]
193507567,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
747940746083262464,,active,[],[],['awake']
828430553519157248,2,deleted,[],['1329919280855408641'],[]
1027199115896279040,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
33371693,0,active,[],[],"['wga', 'wwg1wga', 'wwg']"
510352007,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1109195449699889153,2,active,[],[],['wga']
